"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que significa comunicação segundo Chiavenato (2014)?";"Ato de falar em público, expondo ideias e pensamentos para um grupo";"É o fenômeno que permite a troca de mensagens entre máquinas, por meio de códigos";"Compartilhamento de informações sigilosas entre membros de um grupo restrito";"Troca de informações entre pessoas, significando tornar comum uma mensagem ou informação";"Troca de informações entre pessoas, significando tornar comum uma mensagem ou informação"
"Segundo Kunsch (2009), qual a natureza da comunicação?";"Exclusiva da espécie humana, sendo essencial para a organização social";"Própria do ser humano e restrita à comunicação verbal";"Fenômeno inerente à existência humana, essencial para a convivência e o desenvolvimento das sociedades";"Caracterizada como um processo ultrapassado pelas novas tecnologias de informação";"Fenômeno inerente à existência humana, essencial para a convivência e o desenvolvimento das sociedades"
"Qual das alternativas abaixo NÃO representa uma forma de comunicação?";"Comunicação Verbal";"Comunicação Não Verbal";"Comunicação Visual";"Comunicação Subjetiva";"Comunicação Subjetiva"
"A comunicação verbal pode ser exemplificada por meio de qual alternativa?";"Imagens e gráficos";"Gestos e postura corporal";"E-mails e conversas";"Símbolos e cores";"E-mails e conversas"
"Como podemos descrever a ação do receptor no processo comunicativo?";"A pessoa que elabora e transmite a mensagem";"O conjunto de sinais que decodificam a mensagem";"O meio pelo qual a mensagem é transmitida";"A pessoa que recebe e decodifica a mensagem";"A pessoa que recebe e decodifica a mensagem"
"No processo comunicativo, o que podemos definir como 'qualquer interferência que distorce ou impede a compreensão da mensagem'?";"Canal de comunicação";"Código da mensagem";"Feedback";"Ruído";"Ruído"
"O que significa o termo 'código' no processo de comunicação?";"A resposta do receptor à mensagem";"O conjunto de sinais ou símbolos utilizados para codificar a mensagem";"O conteúdo da mensagem transmitida";"O meio pelo qual a mensagem é transmitida";"O conjunto de sinais ou símbolos utilizados para codificar a mensagem"
"Qual a função do feedback no processo de comunicação?";"Decodificar a mensagem sem interação do emissor";"Substituir o emissor na atividade de codificação";"Confirmar o recebimento e a compreensão da mensagem";"Elaborar a mensagem de forma complexa";"Confirmar o recebimento e a compreensão da mensagem"
"Qual alternativa NÃO apresenta um exemplo de canal de comunicação?";"Escrita";"Fala";"Intuição";"Meios Eletrônicos";"Intuição"
"Quem é considerado o 'emissor' no processo de comunicação?";"A pessoa ou entidade que recebe a mensagem";"A pessoa que decodifica a mensagem";"O meio responsável por transmitir a mensagem";"A pessoa ou entidade que origina a mensagem";"A pessoa ou entidade que origina a mensagem"
